,Names,Loction,No of Courses,Entrance Exam,Ratings,fee,No of Seats
272,SKN Sinhgad School of Business Management, Pune,1, CAT ,4.0,208000,300
273,Accurate Group of Institutions,Greater Noida,2, CAT ,4.4,119000,210
274,"College of Engineering, Anna University", Chennai,2, TANCET MBA ,3.9,50000,120
275,Bhagwan Parshuram Institute of Technology, Delhi,1, CAT ,3.3,218000,60
276,Gyan Ganga College of Technology (GGCT),Jabalpur,1, CMAT ,3.8,110000,120
277,"Christ - Lavasa, Pune Campus", Pune,1, CAT ,3.6,805000,180
278,Utkal University,Bhubaneswar,6, OJEE ,3.9,50000,224
279,Trinity Institute of Management and Research, Pune,1, CAT ,4.0,149000,120
280,St Ann's College for Women, Hyderabad,1, TSICET ,2.8,86000,60
281,Villa Marie College for women, Hyderabad,1, TSICET ,3.4,110000,180
282,Jayawantrao Sawant College of Engineering, Pune,1, CAT ,4.6,209000,60
283,Vignana Bharathi Institute of Technology, Hyderabad,1, TSICET ,3.3,80000,120
284,SP Jain School of Global Management, Mumbai,4, CAT ,4.1,1317000,180
285,DAVV - Devi Ahilya Vishwavidyalaya,Indore,2, CUET-PG ,2.2,28000,100
286,Priyadarshini Lokmanya Tilak Institute of Management Studies and Research (PLTIMSR),Nagpur,1, CAT ,3.0,165000,120
287,Deccan Education Society- Institute of Management Development and Research- IMDR, Pune,1, CAT ,3.7,400000,180
288,STEP- Harcourt Butler Technological Institute,Kanpur,1, UPCET ,3.4,119000,180
289,KG Reddy College of Engineering and Technology, Hyderabad,1, TSICET ,4.0,80000,60
290,IMU Chennai Indian Maritime University (IMUC), Chennai,2, IMUCET ,3.7,400000,75
291,"M.S. Ramaiah College of Arts, Science and Commerce", Bangalore,1, Karnataka PGCET ,2.4,117000,60
292,Vidya Vikas Institute of Engineering and Technology - VVIET,Mysore,1, Karnataka PGCET ,4.0,117000,60
293,JSS Academy of Technical Education, Bangalore,1, Karnataka PGCET ,3.0,117000,60
294,Adani Institute of Digital Technology Management,Ahmedabad,2, CAT ,5.0,1050000,120
295,Stanley College of Engineering and Technology for Women, Hyderabad,1, TSICET ,3.0,100000,60
296,Progressive Education Society’s Modern Institute of Business Management (MIBM Pune), Pune,1, CAT ,2.3,188000,180
297,SSBT’s College of Engineering and Technology,Jalgaon,1, CAT ,4.2,93000,60
298,Maharaj Vijayaram Gajapathi Raj College of Engineering (MVGRCE),Vizianagaram,1, APICET ,4.5,89000,120
299,Vidyalankar School of Business, Mumbai,2, CAT ,4.0,650000,120
300,Vidya Pratishthan's Institute of Information Technology,Baramati,1, CAT ,3.9,200000,60
301,Uka Tarsadia University,Surat,1, CAT ,4.9,130000,180
302,Rukmini Devi Institute of Advanced Studies, Delhi,2, CAT ,3.9,349000,240
303,C. V. Raman Global University,Bhubaneswar,2, CAT ,4.6,264000,90
304,J S Kothari Business School, Mumbai,1, CAT ,4.8,600000,60
305,Adamas University, Kolkata,4, CAT ,4.9,240000,120
306,School of Management Sciences,Lucknow,1, CMAT ,4.5,119000,90
307,"Andhra Loyola College (ALC, Vijayawada)",Vijayawada,1, APICET ,4.5,70000,120
308,Shri Dharmasthala Manjunatheshwara College of Engineering and Technology,Dharwad,1, Karnataka PGCET ,3.0,117000,60
309,Wesley P.G. College,Secunderabad,1, TSICET ,2.5,90000,420
310,Pillai Institute of Management Studies and Research,Navi Mumbai,1, CAT ,4.5,450000,60
311,Aditya Engineering College,East Godavari,3, CAT ,4.5,120000,240
312,"G H Raisoni Institute of Business Management, Jalgaon",Jalgaon,2, CAT ,4.6,170000,180
313,Guru Ghasidas Vishwavidyalaya,BilasPur,1, CUET-PG ,3.4,50200,50
314,IILM College of Management Studies,Greater Noida,1, CAT ,3.6,540000,120
315,Medi-Caps University,Indore,4, CAT ,3.9,200000,600
316,Doon University,Dehradun,4, CAT ,3.6,100000,85
317,ITM (SLS) Baroda University,Vadodara,1, CMAT ,3.7,140000,120
318,Rajalakshmi School of Business, Chennai,2, CAT ,4.0,633000,120
319,Institute of Marketing and Management (IMM),Delhi,3, CAT ,4.2,810000,540
320,Dhanalakshmi Srinivasan Engineering College - DSEC,Tamil Nadu - Other,1, TANCET MBA ,3.0,35000,60
321,DCRUST - Deenbandhu Chhotu Ram University of Science and Technology,Sonepat,3, CMAT ,3.5,117000,150
322,"Department of Business Administration and Management, Sant Gadge Baba Amravati University",Amravati,1, CAT ,3.9,33000,60
323,"Symbiosis School of Sports Sciences, Symbiosis International, Pune", Pune,1, SNAP ,4.0,880000,60
324,Panjab University (PUCHD),Chandigarh,2, PU-CET (PG) ,4.1,441000,78
325,IMS Engineering College,Ghaziabad,1, UPCET ,4.1,119000,60
326,Kasturba Gandhi Degree and PG College for Women,Secunderabad,1, TSICET ,4.4,90000,120
327,Srinivas Institute of Management Studies,Mangalore,1, KMAT ,2.6,70000,120
328,ODM Business School,Bhubaneswar,1, CAT ,4.4,387000,60
329,Vishwakarma University, Pune,2, MAH CET ,3.3,500000,120
330,Bhavan's Royal Institute of Management,Kochi,1, CAT ,4.4,280000,60
331,Dayananda Sagar Business School, Bangalore,1, CAT ,4.6,765000,60
332,Center of Excellence in Analytics and Data Science, Mumbai,1, NMAT ,5.0,1650000,60
333,Shree Devi Institute of Technology,Mangalore,1, Karnataka PGCET ,3.0,117000,120
334,Guru Nanak College, Chennai,6, MAT ,4.8,45500,120
335,LNMU - Lalit Narayan Mithila University,Bihar - Other,1, CMAT ,4.0,110000,60
336,"G H Raisoni School of Business Management, Nagpur",Nagpur,1, CAT ,2.0,202000,150
337,"Devi Ahilya Vishwavidyalaya, Takshashila Campus",Indore,22, CMAT ,3.9,50000,1425
338,Netaji Subhas University of Technology, Delhi,2, CAT ,4.1,143000,90
339,"Amrita School of Business, Amrita Vishwa Vidyapeetham - Amritapuri Campus",Kollam,1, CAT ,4.4,1050000,60
340,Gautam Buddha University,Greater Noida,5, CAT ,3.6,400000,220
341,Adi Shankara Institute of Engineering and Technology,Ernakulum,1, CAT ,4.2,562000,120
342,"Swami Keshvanand Institute of Technology Management and Gramothan, Jaipur",Jaipur,1, CAT ,4.3,115999,60
343,"Graphic Era Hill University, Dehradun",Dehradun,4, CAT ,3.9,267000,240
344,Shri Ram Institute of Technology,Jabalpur,1, CMAT ,2.0,82400,120
345,International Institute of Business Studies, Bangalore,6, CAT ,4.2,545000,720
346,RK University - RKU,Rajkot,1, CAT ,4.5,156000,135
347,CIEM - Calcutta Institute Of Engineering & Management, Kolkata,1, CAT ,3.8,425000,60
348,G Pullaiah College of Engineering and Technology,Kurnool,1, APICET ,3.3,54000,60
349,Som-Lalit Education and Research Foundation (SLERF), Ahmedabad,4, CAT ,3.9,229999,390
350,Goa University,Goa - Other,3, CMAT ,2.7,91600,188
351,"Delhi Technological University, East Delhi", Delhi,4, CAT ,4.4,396000,195
352,"S B Jain Institute of Technology, Management and Research",Nagpur,1, CAT ,5.0,150000,60
353,DDU - Dharmsinh Desai University,Gujarat - Other,1, CAT ,3.9,304000,60
354,Dr. Akhilesh Das Gupta Institute of Technology and Management (Formerly Northern India Engineering College), Delhi,1, CAT ,2.9,254999,120
355,"Ravenshaw University, Mahanadi",Cuttack,1, OJEE ,4.0,342000,48
356,IIEST Shibpur - Indian Institute of Engineering Science and Technology,Howrah,1, CAT ,4.4,400000,60
357,SAL Education, Ahmedabad,1, CAT ,5.0,130000,180
358,Deccan School of Management, Hyderabad,1, TSICET ,3.5,90000,240
359,"SNS College of Engineering, SNS Group of Institutions",Coimbatore,1, TANCET MBA ,4.1,35000,60
360,Ravenshaw University,Cuttack,1, CAT ,4.1,342000,50
361,"International Institute of Management and Human Resource Development, Sai Balaji Education Society", Pune,1, CAT ,4.5,400000,120
362,Christ - Kengeri Campus, Bangalore,1, CAT ,4.4,819999,300
363,"JSS Academy of Technical Education, JSS Mahavidyapeetha, Noida",Noida,2, UPCET ,1.8,119000,90
364,"GEHU - Graphic Era Hill University, Bhimtal",Nainital,1, CAT ,4.1,390000,60
365,Rajadhani Business School,Thiruvananthapuram,1, CAT ,4.0,368000,120
366,"SMIT - Sikkim Manipal Institute of Technology, Sikkim Manipal University",Rangpo,1, CAT ,4.5,550000,60
367,Shri Shankaracharya Institute of Professional Management and Technology,Raipur,1, CAT ,3.0,129000,120
368,KIT's Institute of Management Education and Research (KIT's IMER),Kolhapur,1, CAT ,4.0,150000,120
369,"KDK College of Engineering, Nagpur",Nagpur,1, CAT ,4.1,164000,60
370,L.N.Mishra Institute of Economic Development and Social Change,Patna,3, CMAT ,3.7,112000,355
371,"Dr. B.R. Ambedkar University Delhi, Kashmere Gate", Delhi,1, CUET-PG ,4.0,212000,20
372,Jyoti Nivas College, Bangalore,1, Karnataka PGCET ,3.0,117000,60
373,P. P. Savani University,Surat,2, CMAT ,5.0,288000,60
374,Sanjay Ghodawat University - SGU,Kolhapur,3, CAT ,3.7,310000,180
375,Global Institute of Technology and Management,Gurgaon,1, CAT ,4.0,180000,60
376,Nagarjuna College of Engineering and Technology, Bangalore,1, Karnataka PGCET ,4.0,117000,120
377,St. Martin's Engineering College (SMEC Secunderabad),Secunderabad,1, TSICET ,1.0,100000,120
378,MET Institute of Post Graduate Diploma in Management, Mumbai,2, CAT ,4.3,990000,120
379,ADBU - Assam Don Bosco University,Guwahati,2, CAT ,3.6,360000,120
380,Atmiya University,Rajkot,2, CAT ,3.8,184000,202
381,Burdwan University,Bardhaman,8, CAT ,4.7,30000,420
382,Rajasthan Technical University,Kota,1, CAT ,3.9,105000,60
383,PAU - Punjab Agricultural University,Ludhiana,2, PAU Entrance Exam ,3.5,229000,90
384,Maharana Pratap Engineering College,Kanpur,1, UPCET ,4.0,119000,60
385,"Girijananda Chowdhury Institute of Management and Technology, Guwahati",Guwahati,1, CAT ,5.0,250000,60
386,Shri Shivaji Maratha Society’s Institute of Management & Research, Pune,1, CAT ,2.5,90000,120
387,Ashoka Business School,Nashik,2, CAT ,3.3,54000,300
388,Prestige Institute of Engineering Management and Research,Indore,2, CAT ,4.0,314000,240
389,Kaziranga University,Jorhat,1, CAT ,4.2,459999,120
390,Kochi Business School,Kochi,1, CAT ,4.5,350000,120
391,Gandhinagar University,Gandhinagar,1, CAT ,3.5,152000,60
392,AMC Management College, Bangalore,1, CAT ,2.3,500000,196
393,Raj Kumar Goel Institute of Technology (RKGIT),Ghaziabad,1, UPCET ,3.2,119000,120
394,National Academy of Agricultural Research Management, Hyderabad,1, CAT ,5.0,745000,60
395,Saranathan College of Engineering,Tiruchirappalli,1, TANCET MBA ,4.0,35000,60
396,Ramaiah Institute of Management Studies/ Sciences, Bangalore,2, CAT ,4.2,731000,360
397,"IILM Academy of Higher Learning, Lucknow",Lucknow,2, CAT ,4.1,409999,180
398,Alpha College of Engineering, Chennai,1, TANCET MBA ,4.6,35000,60
399,Pendekanti Institute of Management,Hyderabad,1, TSICET ,4.0,170000,120
400,Methodist College of Engineering & Technology, Hyderabad,1, TSICET ,2.4,100000,60
401,R. R. Group of Institutions,Lucknow,1, UPCET ,4.8,153000,60
402,St. Claret College, Bangalore,1, CAT ,4.6,403000,180
403,NIIS Institute of Business Administration (NIIS-IBA),Bhubaneswar,1, OJEE ,4.2,196000,180
404,Arka Jain University,Jamshedpur,1, CAT ,3.5,350000,120
405,"Siddhartha Institute of Engineering and Technology, Hyderabad", Hyderabad,1, TSICET ,2.8,80000,60
406,ZEAL Institute of Management and Computer Application, Pune,1, CAT ,5.0,200000,120
407,SVIMS Business School, Mumbai,2, CAT ,3.0,425000,180
408,Sahrdaya Institute of Management Studies,Thrissur,1, CAT ,4.3,300000,60
409,"Department of Management Studies, NALSAR University", Hyderabad,3, CAT ,2.8,400000,126
410,Ahmedabad Institute of Technology, Ahmedabad,1, CAT ,1.0,142000,60
411,M.Kumarasamy College of Engineering,Karur,1, TANCET MBA ,4.0,35000,60
412,S.R. Luthra Institute of Management,Surat,2, CAT ,3.8,152000,360
413,"SRM Institute of Science & Technology, Ghaziabad Campus",Ghaziabad,2, CAT ,3.7,321000,120
414,NIT Agartala - National Institute of Technology,Agartala,1, CAT ,4.1,130000,38
415,JNNCE - Jawaharlal Nehru National College of Engineering,Shimoga,1, Karnataka PGCET ,4.8,117000,120
